,Rule 1,Rule 2,Initial clusters,CA Silhoutte,Heir Silhoutte,Kmeans Silhoutte,Birch Silhoutte
0,3035673780,3538955760,22,0.528599756,0.5140953,0.52036214,Failed
1,3035673780,3785744805,4,0.009975777,0.5140953,0.52036214,Failed
2,3035673780,4031508660,23,0.23137268,0.5140953,0.52036214,Failed
3,3035673780,4039315215,6,0.15490875,0.5140953,0.52036214,Failed
4,3035673780,4041289185,3,-0.15586373,0.5140953,0.52036214,Failed
5,3035673780,4042272240,24,0.2608035,0.5140953,0.52036214,Failed
6,3035673780,517136850,19,0.123140745,0.5140953,0.52036214,Failed
7,3537028050,3537035730,23,0.035433993,0.5140953,0.52036214,Failed
8,3537028050,3537972705,6,0.13826849,0.5140953,0.52036214,Failed
9,3537028050,3538955760,22,0.17119512,0.5140953,0.52036214,Failed
10,3537028050,3785744805,4,-0.003642946,0.5140953,0.52036214,Failed
11,3537028050,4031508660,24,0.23939,0.5140953,0.52036214,Failed
12,3537028050,4039315215,6,0.16056952,0.5140953,0.52036214,Failed
13,3537028050,4041289185,4,-0.037001476,0.5140953,0.52036214,Failed
14,3537028050,4042272240,26,0.26432022,0.5140953,0.52036214,Failed
15,3537028050,517136850,19,0.05517112,0.5140953,0.52036214,Failed
16,3537035730,3537972705,6,-0.10596853,0.5140953,0.52036214,Failed
17,3537035730,3538955760,22,0.18547086,0.5140953,0.52036214,Failed
18,3537035730,3785744805,4,-0.026954269,0.5140953,0.52036214,Failed
19,3537035730,4031508660,24,0.12162964,0.5140953,0.52036214,Failed
20,3537035730,4039315215,6,0.14672601,0.5140953,0.52036214,Failed
21,3537035730,4041289185,4,0.076510675,0.5140953,0.52036214,Failed
22,3537035730,4042272240,26,0.39825416,0.5140953,0.52036214,Failed
23,3537035730,517136850,19,0.040360317,0.5140953,0.52036214,Failed
24,3537972705,3538955760,4,-0.14433527,0.5140953,0.52036214,Failed
