,Unnamed: 0,Rule 1,Rule 2,Initial clusters,CA Silhoutte,Kmeans Silhoutte,New Clusters,New CA Silhoutte,New Kmeans Silhoutte
129,129,2783028705,521018910,13,-0.2932391317003582,0.453930565729425,2,0.3732863372987943,0.7663611080988648
159,159,3027809415,3789677025,9,-0.3201862654960398,0.4907195480030768,2,0.3732460374051431,0.7663611080988648
78,78,252645135,1921479288,15,-0.2881610630512597,0.4537382684768693,2,0.3718366649650559,0.7663611080988648
121,121,260509455,2222699700,27,0.1740859268765793,0.1740859268765793,2,0.3712846951311438,0.7663611080988648
120,120,260509455,2218767600,27,0.1740859268765793,0.1740859268765793,2,0.3712846951311438,0.7663611080988648
98,98,260509455,1263225675,27,0.1406189976698904,0.1740859268765793,2,0.3712846951311438,0.7663611080988648
119,119,260509455,2218767540,27,0.1740859268765793,0.1740859268765793,2,0.3712846951311438,0.7663611080988648
47,47,1263225675,265482450,24,0.0253917189343957,0.2223335505234243,2,0.369503232517157,0.7663611080988648
49,49,1263225675,267416079,3,-0.349095267576584,0.5206351999771719,2,0.3650945686861335,0.7663611080988648
339,339,3035673780,521018910,24,-0.049890410288998,0.2223335505234243,2,0.3583773778578418,0.7663611080988648
112,112,2018212020,2222699760,26,0.0690173013664612,0.2038472555369759,2,0.3583252020730036,0.7663611080988648
118,118,260509455,2218767375,3,-0.3014130566751852,0.5206351999771719,2,0.3545885660709246,0.7663611080988648
100,100,252656655,4030467855,11,-0.3743678542787945,0.4855423541121131,2,0.3535305833926326,0.7663611080988648
5,5,254618925,1511938590,10,-0.1783724087215532,0.4896891491028008,2,0.3532576574934041,0.7663611080988648
218,218,252656880,2076199920,12,-0.3038178127161063,0.4598324187630279,2,0.3524611570686631,0.7663611080988648
254,254,3035673615,3530698098,23,0.094089331477209,0.2598546757324904,2,0.3476563223587365,0.7663611080988648
378,378,3063191190,4042264560,25,0.0495316331470421,0.212747251558989,2,0.3463423033122508,0.7663611080988648
128,128,2783028705,517136850,8,-0.5161803816216919,0.5402522282032921,2,0.3453682193582332,0.7663611080988648
17,17,252656655,570174960,14,-0.3696906182562427,0.4595098788709187,2,0.345272574423248,0.7663611080988648
120,120,252656655,570174960,14,-0.3696906182562427,0.4595098788709187,2,0.345272574423248,0.7663611080988648
4,4,254618925,1016918172,8,-0.2731878269317928,0.5402522282032921,2,0.3442239526576093,0.7663611080988648
0,0,259526415,3530698098,27,0.0990823698657652,0.1740859268765793,2,0.3437519163340907,0.7663611080988648
18,18,757935405,521018910,23,-0.0106567745050811,0.2598546757324904,2,0.3410982130532458,0.7663611080988648
208,208,252656880,1924428408,26,0.1186598348258537,0.2038472555369759,2,0.3403474871125111,0.7663611080988648
86,86,252645135,2072267595,3,0.2948376074170347,0.5206351999771719,2,0.3329984624966196,0.7663611080988648
289,289,3035673615,570174960,19,-0.1202430935881958,0.3282630066445901,2,0.3322454535326097,0.7663611080988648
102,102,2783028705,3726716205,3,-0.194539119516753,0.5206351999771719,2,0.3314021583259066,0.7663611080988648
19,19,2526451350,570174960,10,-0.3954331792078944,0.4896891491028008,2,0.3303989914474435,0.7663611080988648
456,456,3537028050,3538955760,28,0.15625,0.15625,2,0.3293097587876811,0.7663611080988648
492,492,3537028050,757935405,28,0.15625,0.15625,2,0.3293097587876811,0.7663611080988648
489,489,3537028050,755969295,28,0.15625,0.15625,2,0.3293097587876811,0.7663611080988648
483,483,3537028050,267448560,28,0.15625,0.15625,2,0.3293097587876811,0.7663611080988648
482,482,3537028050,267448335,28,0.15625,0.15625,2,0.3293097587876811,0.7663611080988648
498,498,3537028050,1259293455,28,0.15625,0.15625,2,0.3293097587876811,0.7663611080988648
454,454,3537028050,3537035730,28,0.15625,0.15625,2,0.3293097587876811,0.7663611080988648
478,478,3537028050,264441615,28,0.15625,0.15625,2,0.3293097587876811,0.7663611080988648
462,462,3537028050,3789677025,28,0.15625,0.15625,2,0.3293097587876811,0.7663611080988648
471,471,3537028050,4038389940,28,0.15625,0.15625,2,0.3293097587876811,0.7663611080988648
476,476,3537028050,4042272240,28,0.15625,0.15625,2,0.3293097587876811,0.7663611080988648
466,466,3537028050,4027576560,28,0.15625,0.15625,2,0.3293097587876811,0.7663611080988648
468,468,3537028050,4031508660,28,0.15625,0.15625,2,0.3293097587876811,0.7663611080988648
469,469,3537028050,4034007024,28,0.15625,0.15625,2,0.3293097587876811,0.7663611080988648
475,475,3537028050,4042264560,28,0.15625,0.15625,2,0.3293097587876811,0.7663611080988648
470,470,3537028050,4035440880,28,0.15625,0.15625,2,0.3293097587876811,0.7663611080988648
473,473,3537028050,4040348370,28,0.15625,0.15625,2,0.3293097587876811,0.7663611080988648
465,465,3537028050,4027576335,28,0.15625,0.15625,2,0.3293097587876811,0.7663611080988648
457,457,3537028050,3539005680,28,0.15625,0.15625,2,0.3293097587876811,0.7663611080988648
64,64,252645135,1231776105,5,0.2188680730068007,0.6348250348539115,2,0.3273897236288704,0.7663611080988648
419,419,3530698098,4030467855,9,-0.2988426888169121,0.4907195480030768,2,0.3255233823615504,0.7663611080988648
237,237,252656880,3035673615,6,-0.5532537398251808,0.6356237424292691,2,0.3229181639508293,0.7663611080988648
14,14,255594255,259526415,9,-0.4751660989565487,0.4907195480030768,2,0.3219247438100263,0.7663611080988648
447,447,3530698098,921712188,16,-0.2131804100429015,0.4094296920565976,2,0.3215106576992183,0.7663611080988648
56,56,755961615,265482450,27,0.1024670691795397,0.1740859268765793,2,0.3192102743382611,0.7663611080988648
479,479,3537028050,265482450,27,0.1270306947718914,0.1740859268765793,2,0.3185582525113689,0.7663611080988648
129,129,252645135,4035440880,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
13,13,252645135,254611245,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
124,124,252645135,4027576335,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
125,125,252645135,4027576560,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
84,84,252645135,2021161080,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
107,107,252645135,3031741620,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
127,127,252645135,4031508660,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
128,128,252645135,4034007024,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
113,113,252645135,3537035730,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
11,11,252645135,252702960,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
15,15,252645135,255594255,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
132,132,252645135,4040348370,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
115,115,252645135,3538955760,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
46,46,252645135,755961615,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
47,47,252645135,755969295,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
53,53,252645135,757935405,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
17,17,252645135,256577295,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
130,130,252645135,4038389940,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
109,109,252645135,3035673780,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
36,36,252645135,505290270,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
111,111,252645135,3530698098,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
116,116,252645135,3539005680,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
21,21,252645135,260509455,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
10,10,252645135,252702735,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
25,25,252645135,264441615,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
112,112,252645135,3537028050,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
28,28,252645135,267390735,28,0.15625,0.15625,2,0.3139307175277276,0.7663611080988648
