,Rule 1,Rule 2,Initial clusters,CA Silhoutte,Heir Silhoutte,Kmeans Silhoutte,Birch Silhoutte
0,3035673780,3538955760,22,0.30742392,0.6096718,0.6063152,Failed
1,3035673780,3785744805,4,0.029410465,0.6096718,0.6063152,Failed
2,3035673780,4027576560,26,0.5366897,0.6096718,0.6063152,Failed
3,3035673780,4031508660,23,0.5017529,0.6096718,0.6063152,Failed
4,3035673780,4039315215,6,0.27731505,0.6096718,0.6063152,Failed
5,3035673780,4041289185,3,0.19941096,0.6096718,0.6063152,Failed
6,3035673780,4042272240,24,0.4460937,0.6096718,0.6063152,Failed
7,3035673780,517136850,19,0.29073647,0.6096718,0.6063152,Failed
