,Rule 1,Rule 2,Initial clusters,CA Silhoutte,Heir Silhoutte,Kmeans Silhoutte,Birch Silhoutte
0,2018212020,2019194970,18,0.201088,0.6096718,0.6063152,Failed
1,2018212020,2273806215,8,-0.020908846,0.6096718,0.6063152,Failed
2,2018212020,2777130375,6,0.18098575,0.6096718,0.6063152,Failed
3,2018212020,2783028705,5,0.13137406,0.6096718,0.6063152,Failed
4,2018212020,3027809415,6,-0.12098363,0.6096718,0.6063152,Failed
5,2018212020,3035673615,10,-0.00916598,0.6096718,0.6063152,Failed
6,2018212020,3035673780,18,0.19661947,0.6096718,0.6063152,Failed
