,Index,Rule 1,Rule 2,Initial clusters,CA Silhoutte,Heir Silhoutte,Kmeans Silhoutte,Birch Silhoutte
0,0,517136850,517140690,15,0.5122815704144074,0.6002109424420083,0.6204656046551029,0.5903754387940471
1,12,517136850,3538955760,12,0.4964146666817821,0.6002109424420083,0.6204656046551029,0.5903754387940471
2,10,517136850,3537035730,14,0.4804773413265669,0.6002109424420083,0.6204656046551029,0.5903754387940471
3,15,517136850,4027576560,15,0.4596376062234101,0.6002109424420083,0.6204656046551029,0.5903754387940471
4,1,517136850,2018212020,12,0.4530823603704149,0.6002109424420083,0.6204656046551029,0.5903754387940471
5,30,2273806215,3538955760,8,0.4473148362609878,0.6002109424420083,0.6204656046551029,0.5903754387940471
6,9,517136850,3537028050,14,0.4025241101998235,0.6002109424420083,0.6204656046551029,0.5903754387940471
7,8,2018212080,2777130375,6,0.3786242284304582,0.6002109424420083,0.6204656046551029,0.5903754387940471
8,13,517136850,3777826605,5,0.3763095786852926,0.6002109424420083,0.6204656046551029,0.5903754387940471
9,20,517140690,2018212080,18,0.3723920777761195,0.6002109424420083,0.6204656046551029,0.5903754387940471
10,16,517136850,4031508660,14,0.2976396786125097,0.6002109424420083,0.6204656046551029,0.5903754387940471
11,0,3035673615,4039315215,3,0.2688810695031283,0.6002109424420083,0.6204656046551029,0.5903754387940471
12,7,2777130375,3537035730,8,0.2618140341416346,0.6002109424420083,0.6204656046551029,0.5903754387940471
13,6,2777130375,3537028050,8,0.2618140341416346,0.6002109424420083,0.6204656046551029,0.5903754387940471
14,3,2018212020,4031508660,14,0.2518891965612809,0.6002109424420083,0.6204656046551029,0.5903754387940471
15,18,517136850,517136850,13,0.2462441745641335,0.6002109424420083,0.6204656046551029,0.5903754387940471
16,4,3537028050,3538955760,14,0.2447379989969416,0.6002109424420083,0.6204656046551029,0.5903754387940471
17,13,3537035730,3777826605,5,0.2208230806022763,0.6002109424420083,0.6204656046551029,0.5903754387940471
18,2,517136850,2018212080,15,0.2166660800402859,0.6002109424420083,0.6204656046551029,0.5903754387940471
19,21,2018212080,517136850,13,0.2117080448289377,0.6002109424420083,0.6204656046551029,0.5903754387940471
20,45,2018212020,3537035730,14,0.2099776681756107,0.6002109424420083,0.6204656046551029,0.5903754387940471
21,37,2018212020,2018212080,14,0.2056709125172973,0.6002109424420083,0.6204656046551029,0.5903754387940471
22,2,2018212020,4027576560,14,0.2056709125172973,0.6002109424420083,0.6204656046551029,0.5903754387940471
23,5,2018212020,517136850,13,0.1963273046372416,0.6002109424420083,0.6204656046551029,0.5903754387940471
24,19,2018212080,4031508660,15,0.19474529233514,0.6002109424420083,0.6204656046551029,0.5903754387940471
25,7,3537028050,4027576560,17,0.1881471304052867,0.6002109424420083,0.6204656046551029,0.5903754387940471
26,27,2273806215,3537028050,8,0.1724253677857652,0.6002109424420083,0.6204656046551029,0.5903754387940471
27,28,2273806215,3537035730,8,0.1724253677857652,0.6002109424420083,0.6204656046551029,0.5903754387940471
28,23,517140690,2777130375,6,0.1712013770853012,0.6002109424420083,0.6204656046551029,0.5903754387940471
29,19,517140690,2018212020,13,0.1706669338521581,0.6002109424420083,0.6204656046551029,0.5903754387940471
30,46,2018212020,3537972705,2,0.1679099641129822,0.6002109424420083,0.6204656046551029,0.5903754387940471
31,9,2777130375,3538955760,7,0.1638134487959801,0.6002109424420083,0.6204656046551029,0.5903754387940471
32,4,517136850,2276755215,5,0.1635370595563578,0.6002109424420083,0.6204656046551029,0.5903754387940471
33,36,517140690,517136850,13,0.1596176073881492,0.6002109424420083,0.6204656046551029,0.5903754387940471
34,44,2018212020,3537028050,13,0.1529268700816867,0.6002109424420083,0.6204656046551029,0.5903754387940471
35,6,2018212080,2273806215,6,0.1525278150925461,0.6002109424420083,0.6204656046551029,0.5903754387940471
36,15,3537035730,4027576560,17,0.150616318117573,0.6002109424420083,0.6204656046551029,0.5903754387940471
37,30,517140690,3538955760,13,0.1447646832484367,0.6002109424420083,0.6204656046551029,0.5903754387940471
38,1,3035673615,517136850,8,0.1401505720950151,0.6002109424420083,0.6204656046551029,0.5903754387940471
39,14,2018212080,3537972705,4,0.1188260668204834,0.6002109424420083,0.6204656046551029,0.5903754387940471
40,2,2276755215,517136850,4,0.1186990623611016,0.6002109424420083,0.6204656046551029,0.5903754387940471
41,5,3537028050,3777826605,5,0.118680530326448,0.6002109424420083,0.6204656046551029,0.5903754387940471
42,8,2777130375,3537972705,2,0.1170080962531583,0.6002109424420083,0.6204656046551029,0.5903754387940471
43,5,2777130375,3035673615,3,0.1163055925816408,0.6002109424420083,0.6204656046551029,0.5903754387940471
44,4,2777130375,3027809415,2,0.1163055925816408,0.6002109424420083,0.6204656046551029,0.5903754387940471
45,0,2018212020,3777826605,5,0.1144372081377245,0.6002109424420083,0.6204656046551029,0.5903754387940471
46,27,517140690,3537028050,14,0.1099461732701784,0.6002109424420083,0.6204656046551029,0.5903754387940471
47,12,3537035730,3538955760,14,0.0997027215382373,0.6002109424420083,0.6204656046551029,0.5903754387940471
48,26,2273806215,3035673615,3,0.095651386180833,0.6002109424420083,0.6204656046551029,0.5903754387940471
49,25,2273806215,3027809415,2,0.095651386180833,0.6002109424420083,0.6204656046551029,0.5903754387940471
50,17,2018212080,3785744805,2,0.0945153369319359,0.6002109424420083,0.6204656046551029,0.5903754387940471
51,31,517140690,3777826605,5,0.0930989314384615,0.6002109424420083,0.6204656046551029,0.5903754387940471
52,4,2018212020,4039315215,6,0.0889083262497008,0.6002109424420083,0.6204656046551029,0.5903754387940471
53,29,2273806215,3537972705,2,0.0839392505446315,0.6002109424420083,0.6204656046551029,0.5903754387940471
54,24,2273806215,2783028705,3,0.0839392505446315,0.6002109424420083,0.6204656046551029,0.5903754387940471
55,42,2018212020,3027809415,4,0.07717447505835,0.6002109424420083,0.6204656046551029,0.5903754387940471
56,39,2018212020,2276755215,5,0.07429346975625,0.6002109424420083,0.6204656046551029,0.5903754387940471
57,24,517140690,2783028705,2,0.0734867549321171,0.6002109424420083,0.6204656046551029,0.5903754387940471
58,11,2018212080,3035673615,4,0.0680992232667021,0.6002109424420083,0.6204656046551029,0.5903754387940471
59,28,517140690,3537035730,14,0.064686973696514,0.6002109424420083,0.6204656046551029,0.5903754387940471
60,20,3537972705,3777826605,4,0.0633725946997826,0.6002109424420083,0.6204656046551029,0.5903754387940471
61,6,517136850,2783028705,2,0.0619438520307773,0.6002109424420083,0.6204656046551029,0.5903754387940471
62,10,2018212080,3027809415,4,0.0603828846437121,0.6002109424420083,0.6204656046551029,0.5903754387940471
63,10,2777130375,3777826605,4,0.05940700835723,0.6002109424420083,0.6204656046551029,0.5903754387940471
64,15,2018212080,3538955760,14,0.0587723805027651,0.6002109424420083,0.6204656046551029,0.5903754387940471
65,0,2276755215,4031508660,4,0.057787001521192,0.6002109424420083,0.6204656046551029,0.5903754387940471
66,33,517140690,4027576560,17,0.0568326339855326,0.6002109424420083,0.6204656046551029,0.5903754387940471
67,32,517140690,3785744805,2,0.0517287487860572,0.6002109424420083,0.6204656046551029,0.5903754387940471
68,26,517140690,3035673615,4,0.0510501539380095,0.6002109424420083,0.6204656046551029,0.5903754387940471
69,40,2018212020,2777130375,6,0.0506405580422921,0.6002109424420083,0.6204656046551029,0.5903754387940471
70,34,517140690,4031508660,15,0.0503562245057483,0.6002109424420083,0.6204656046551029,0.5903754387940471
71,29,517140690,3537972705,4,0.0490976964854305,0.6002109424420083,0.6204656046551029,0.5903754387940471
72,43,2018212020,3035673615,4,0.0490744344306088,0.6002109424420083,0.6204656046551029,0.5903754387940471
73,23,2273806215,2777130375,3,0.0480639316846952,0.6002109424420083,0.6204656046551029,0.5903754387940471
74,7,517136850,3027809415,4,0.0442515996028022,0.6002109424420083,0.6204656046551029,0.5903754387940471
75,22,2273806215,2276755215,4,0.0342442553740211,0.6002109424420083,0.6204656046551029,0.5903754387940471
76,21,517140690,2273806215,6,0.0327882775825884,0.6002109424420083,0.6204656046551029,0.5903754387940471
77,1,2018212020,3785744805,2,0.0297914046232359,0.6002109424420083,0.6204656046551029,0.5903754387940471
78,38,2018212020,2273806215,6,0.0290107615535912,0.6002109424420083,0.6204656046551029,0.5903754387940471
79,3,3537028050,3537972705,4,0.0263715791009149,0.6002109424420083,0.6204656046551029,0.5903754387940471
80,17,517136850,4039315215,6,0.0249114796448282,0.6002109424420083,0.6204656046551029,0.5903754387940471
81,6,3537028050,3785744805,2,0.0246308786293643,0.6002109424420083,0.6204656046551029,0.5903754387940471
82,8,3537028050,4031508660,15,0.0240963234821223,0.6002109424420083,0.6204656046551029,0.5903754387940471
83,7,2018212080,2276755215,5,0.0227946363481822,0.6002109424420083,0.6204656046551029,0.5903754387940471
84,14,3537035730,3785744805,2,0.021917812739711,0.6002109424420083,0.6204656046551029,0.5903754387940471
85,11,517136850,3537972705,2,0.0211325896170925,0.6002109424420083,0.6204656046551029,0.5903754387940471
86,16,3537035730,4031508660,15,0.0203212071935251,0.6002109424420083,0.6204656046551029,0.5903754387940471
87,3,2777130375,2783028705,3,0.019463696019354,0.6002109424420083,0.6204656046551029,0.5903754387940471
88,5,517136850,2777130375,6,0.0179100844544185,0.6002109424420083,0.6204656046551029,0.5903754387940471
89,11,3537035730,3537972705,4,0.0177775418188908,0.6002109424420083,0.6204656046551029,0.5903754387940471
90,10,3537028050,517136850,13,0.0165760935055211,0.6002109424420083,0.6204656046551029,0.5903754387940471
91,31,2273806215,3777826605,4,0.016245571374523,0.6002109424420083,0.6204656046551029,0.5903754387940471
92,20,2018212080,4039315215,6,0.0151228411398892,0.6002109424420083,0.6204656046551029,0.5903754387940471
93,14,517136850,3785744805,2,0.0092095337660458,0.6002109424420083,0.6204656046551029,0.5903754387940471
94,19,3537972705,3538955760,6,0.002975102291773,0.6002109424420083,0.6204656046551029,0.5903754387940471
95,8,517136850,3035673615,4,0.0019362711070133,0.6002109424420083,0.6204656046551029,0.5903754387940471
96,18,2018212080,4027576560,17,0.0008654915837477,0.6002109424420083,0.6204656046551029,0.5903754387940471
97,25,517140690,3027809415,4,0.0004979800111144,0.6002109424420083,0.6204656046551029,0.5903754387940471
98,12,2018212080,3537028050,14,-0.004246291439402,0.6002109424420083,0.6204656046551029,0.5903754387940471
99,9,3537028050,4039315215,6,-0.0069450815274208,0.6002109424420083,0.6204656046551029,0.5903754387940471
100,18,3537035730,517136850,13,-0.0111032521620282,0.6002109424420083,0.6204656046551029,0.5903754387940471
101,3,517136850,2273806215,6,-0.0113204545448085,0.6002109424420083,0.6204656046551029,0.5903754387940471
102,22,517140690,2276755215,5,-0.0130414190484799,0.6002109424420083,0.6204656046551029,0.5903754387940471
103,2,3537028050,3537035730,15,-0.0192678056681938,0.6002109424420083,0.6204656046551029,0.5903754387940471
104,17,3537035730,4039315215,6,-0.0198020640810887,0.6002109424420083,0.6204656046551029,0.5903754387940471
105,13,2018212080,3537035730,15,-0.026782100336926,0.6002109424420083,0.6204656046551029,0.5903754387940471
106,1,2276755215,4039315215,3,-0.0379335787622594,0.6002109424420083,0.6204656046551029,0.5903754387940471
107,16,2018212080,3777826605,5,-0.0641990895099575,0.6002109424420083,0.6204656046551029,0.5903754387940471
108,41,2018212020,2783028705,2,-0.0713033325747786,0.6002109424420083,0.6204656046551029,0.5903754387940471
109,35,517140690,4039315215,6,-0.0728683246155692,0.6002109424420083,0.6204656046551029,0.5903754387940471
110,9,2018212080,2783028705,2,-0.0839801456447083,0.6002109424420083,0.6204656046551029,0.5903754387940471
