,Rule 1,Rule 2,Initial clusters,CA Silhoutte,Kmeans Silhoutte,New Clusters,New CA Silhoutte,New Kmeans Silhoutte
0,252656655,264499440,25,0.011687078296907176,0.21274725155898905,2,0.2695469436476171,0.7663611080988648
1,252656655,265482450,24,-0.01634672435989909,0.22233355052342438,2,0.07929108883791657,0.7663611080988648
2,252656655,267390735,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
3,252656655,267390795,6,-0.5423050810147587,0.6356237424292691,2,0.1001309168669414,0.7663611080988648
4,252656655,267390960,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
5,252656655,267416079,8,-0.44632696540886496,0.5402522282032921,2,-0.03276619711891981,0.7663611080988648
6,252656655,267422991,6,-0.5347080525932011,0.6356237424292691,2,-0.03896939836307284,0.7663611080988648
7,252656655,267448335,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
8,252656655,267448359,7,-0.28065805904709423,0.6196104012195134,2,0.12828742875856805,0.7663611080988648
9,252656655,267448560,27,0.12084998129542052,0.17408592687657937,2,0.07599221276534818,0.7663611080988648
10,252656655,505290270,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
11,252656655,505336350,8,-0.43811973956767974,0.5402522282032921,2,0.022581261311566313,0.7663611080988648
12,252656655,509222490,18,-0.22291108944776908,0.33419846180061447,2,0.06561280949526724,0.7663611080988648
13,252656655,517136850,8,-0.39298856390231984,0.5402522282032921,2,0.055973184565535156,0.7663611080988648
14,252656655,517140690,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
15,252656655,521018910,21,-0.006178627908658647,0.31330998720449554,2,0.0725720164857536,0.7663611080988648
16,252656655,568251090,21,-0.10940685361181104,0.31330998720449554,2,0.185693103869005,0.7663611080988648
17,252656655,570174960,14,-0.3696906182562427,0.4595098788709187,2,0.345272574423248,0.7663611080988648
18,252656655,570217200,23,-0.03393466691592714,0.2598546757324904,2,0.24677193798264166,0.7663611080988648
19,252656655,695036265,8,-0.45961396909995356,0.5402522282032921,2,-0.007525045687821308,0.7663611080988648
20,252656655,755961615,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
21,252656655,755969295,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
22,252656655,756011535,4,-0.507377760227429,0.6624775722716753,2,-0.018446146630502078,0.7663611080988648
23,252656655,756019215,7,-0.30644616401258573,0.6196104012195134,2,0.059281263169759194,0.7663611080988648
24,252656655,756994590,3,-0.4192901476600478,0.5206351999771719,2,-0.20592599280307666,0.7663611080988648
25,252656655,757927725,13,-0.38990429265839,0.45393056572942503,2,0.034794394612021315,0.7663611080988648
26,252656655,757931565,4,-0.43607640655078883,0.6624775722716753,2,0.12599472651532828,0.7663611080988648
27,252656655,757935405,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
28,252656655,757939245,8,-0.30815750708910916,0.5402522282032921,2,0.04713746464493116,0.7663611080988648
29,252656655,764265357,6,-0.5493732848513708,0.6356237424292691,2,-0.0029673176870659984,0.7663611080988648
30,252656655,764269197,4,-0.47300026929029015,0.6624775722716753,2,-0.07334948784964274,0.7663611080988648
31,252656655,764273037,6,-0.3226177736166044,0.6356237424292691,2,0.14859806168505302,0.7663611080988648
32,252656655,764276877,5,-0.5341570617919937,0.6348250348539115,2,-0.13548157922935003,0.7663611080988648
33,252656655,921712188,15,-0.27550686889109105,0.4537382684768693,2,0.031084204057090357,0.7663611080988648
34,252656655,1010580540,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
35,252656655,1016918172,11,-0.3349861397667121,0.48554235411211316,2,0.10710107275345662,0.7663611080988648
36,252656655,1016918172,11,-0.3349861397667121,0.48554235411211316,2,0.10710107275345662,0.7663611080988648
37,252656655,1511938590,12,-0.3365273667491374,0.45983241876302794,2,0.016632063852705194,0.7663611080988648
38,252656655,1231776105,4,-0.4481648479826457,0.6624775722716753,2,0.2107786100183839,0.7663611080988648
39,252656655,1259293455,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
40,252656655,1259293515,5,-0.5010346701633227,0.6348250348539115,2,-0.05079800706368931,0.7663611080988648
41,252656655,1259293560,6,-0.1897510967574663,0.6356237424292691,2,0.038457431678946025,0.7663611080988648
42,252656655,1259293680,10,-0.37756985936089504,0.4896891491028008,2,-0.018490530878416706,0.7663611080988648
43,252656655,1263225615,18,-0.1561132734929459,0.33419846180061447,2,0.13885413402422941,0.7663611080988648
44,252656655,1263225675,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
45,252656655,1267157835,5,-0.5873502519688394,0.6348250348539115,2,-0.007544616982990698,0.7663611080988648
46,252656655,1267157880,3,-0.33117031147638876,0.5206351999771719,2,0.40097885190361493,0.7663611080988648
47,252656655,1271089995,6,-0.5674830196612477,0.6356237424292691,2,0.08962734556280214,0.7663611080988648
48,252656655,1752787305,8,-0.27590550014729104,0.5402522282032921,2,-0.003818289735919144,0.7663611080988648
49,252656655,1768515945,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
50,252656655,1799965515,4,-0.517096402520998,0.6624775722716753,2,-0.3776456416170503,0.7663611080988648
51,252656655,1831415085,7,-0.4642423071889725,0.6196104012195134,2,-0.07342757324804569,0.7663611080988648
52,252656655,1921479288,18,-0.2734026471705644,0.33419846180061447,2,0.07830738535906831,0.7663611080988648
53,252656655,1924428408,23,0.03235981943012428,0.2598546757324904,2,0.20504461119214484,0.7663611080988648
54,252656655,2018211960,25,0.05922060136697188,0.21274725155898905,2,0.08571581381037202,0.7663611080988648
