,Rule 1,Rule 2,Initial clusters,CA Silhoutte,Heir Silhoutte,Kmeans Silhoutte,Birch Silhoutte
0,264499440,4039315215,6,-0.09199375,0.5140953,0.52036214,Failed
1,264499440,4041289185,3,0.08277355,0.5140953,0.52036214,Failed
2,264499440,4042272240,15,0.27785346,0.5140953,0.52036214,Failed
3,264499440,517136850,14,0.20701717,0.5140953,0.52036214,Failed
4,517136850,2018212080,19,0.19402392,0.5140953,0.52036214,Failed
5,517136850,2019194970,16,0.07901946,0.5140953,0.52036214,Failed
6,517136850,2777130375,6,-0.078019746,0.5140953,0.52036214,Failed
